booking_id,customer_name,hotel_name,country,room_type,price,rating,booking_date,status
12827,Jennifer Moss,Ocean View Hotel,Germany,Standard,474.58,4.0,2025-06-09,Completed
15602,Jennifer Berg,Mountain View Hotel,Germany ,Executive,132.11,2.0,2025-02-12,Pending
17889,Ryan Wilkinson,Ocean View Hotel,United Kingdom,Suite,366.33,4.5,2025-03-01,Confirmed
19110,Jacob Dillon,Grand Palace Hotel,Germany,Suite,59.4,4.6,2026-03-25,Cancelled
17678,Dylan Vance,Ocean View Hotel,Germany,Executive,176.19,2.3,2024-08-03,Completed
17299,Christopher Dunn,Ocean View Hotel,India,Family,446.77,3.7,2024-12-16,Pending
13618,Eric Johnson,Royal Beach Resort,Canada,Family,209.52,2.2,2024-04-25,Confirmed
27002,Daniel Morris,City Garden Hotel,India,Family,113.14,2.9,2024-09-21,Confirmed
12468,Lisa Johnson,Royal Beach Resort,Australia,Deluxe,476.04,1.0,2026-01-08,Completed
23518,Tara Mcclure,Royal Beach Resort,Germany,Family,338.3,3.7,2025-06-01,Cancelled
16291,Mark Wilkins,Ocean View Hotel,Australia,Standard,348.68,2.6,2024-04-07,Cancelled
23432,Anne Willis,Blue Lagoon Hotel,United Kingdom,Family,136.89,1.6,2026-03-04,Cancelled
18144,Andrea Wright,Ocean View Hotel,Canada,Family,228.01,2.2,2026-02-21,Pending
11476,Michelle Webb,Grand Palace Hotel,Singapore,Suite,131.88,2.3,2025-05-04,Cancelled
18011,Yolanda Stephens,Royal Beach Resort,Canada,Deluxe,364.68,4.7,2025-07-29,Confirmed
17829,Jennifer Ingram,Ocean View Hotel,Singapore,Family,276.91,4.1,2025-08-14,Confirmed
29527,Kelsey Kim,City Garden Hotel,United Kingdom,Suite,458.66,2.4,2026-08-24,Cancelled
12782,Eugene Hall,Ocean View Hotel,Germany,Executive,344.13,1.9,2024-06-04,Confirmed
17600,Jonathan Garcia,Green Valley Resort,United Kingdom,Standard,177.23,1.9,2024-02-12,Pending
